"","scode","interp","fp","lfp","fp2","lfp2","year","year1","year2","year3","lopenk","ldopenk","lfdiinward","lfdiinflow","lfpi","lfpistock","lpolity2","ldpolity2","lrgdpch","lgrgdpch","economic.globalization","leconglob","ldeconglob","lrestrict","ldrestrict","lpolglob","ldpolglob","linfoglob","ldinfoglob","lflows","ldflows","loverallglob","ldoverallglob","actual.flows","restrictions","political.globalization","information.flows","overall.globalization.index"
"37","100",0,1,1,0,0,"1984",0.0325540730961955,0.0305614409689232,0.0285656717004157,-0.434663673998122,-0.0854030883984814,-0.106271212210173,-0.0400696287875245,-0.0925798680704037,-0.172048940815406,0.544556295666394,-0.0183385837150786,-0.121422209309407,-0.19877803940521,-0.532221987463473,-0.554384219277054,-0.077889553301614,-0.448133400532047,-0.101286902774213,0.174251810859294,0.160838143256051,0.21728873554641,-0.067663709022267,-0.516350214400577,-0.023124613797601,-0.223934580526469,0.0647907489101363,-0.469123726808009,-0.457408888478565,0.172512347064944,0.204283543159025,-0.217503330203511
"38","100",0,1,1,0,0,"1985",0.0635593152430118,0.0616230975312003,0.0596818744342519,-0.43585644530089,-0.0308839275988594,-0.101043211617963,-0.0473476914892673,-0.0927876757727238,-0.172245204313128,0.544556295666394,-0.0183385837150786,-0.118921413157773,-0.0674976940075922,-0.493376031344986,-0.522581115630187,0.134193451596957,-0.448133400532047,-0.101286902774213,0.180558666542225,-0.0835553536881502,0.21728873554641,-0.067663709022267,-0.460483671820426,0.23005091107973,-0.207713361119993,-0.0169345679773368,-0.400813422647779,-0.457408888478565,0.183528716823489,0.204283543159025,-0.192826298367108
"39","100",0,1,1,0,0,"1986",0.0945645573898281,0.092700406225784,0.0908294443052858,-0.433505455270615,-0.0180623313907921,-0.0897897670364755,0.100493759707422,-0.0924023010453927,-0.172206740486451,0.544556295666394,-0.0183385837150786,-0.11759906436555,-0.0926059464793848,-0.444108770362614,-0.483682673937781,0.195306530261145,-0.448133400532047,-0.101286902774213,0.191658287408715,-0.0574599166319678,0.21728873554641,-0.067663709022267,-0.392152683456874,0.30300848762132,-0.182968317908007,0.0783184130596516,-0.320244500912843,-0.451769479841009,0.188800269505179,0.204283543159025,-0.165925529457266
"40","100",0,1,1,0,0,"1987",0.125569799536644,0.123793367052674,0.122008397115602,-0.415740182056112,0.0377077096055016,-0.082130058443396,-0.00501169778904677,-0.0855221601563717,-0.169866716341755,0.544556295666394,-0.0183385837150786,-0.108547937436933,0.068428203832803,-0.407234496204994,-0.434348846941173,0.285187874728991,-0.442503762284457,-0.0501586966664087,0.196969677406232,-0.0889754214653937,0.21728873554641,-0.067663709022267,-0.311559365637348,0.374783025808464,-0.155993408870214,0.103236967462825,-0.261468702313857,-0.446129860171434,0.170536348388166,0.204283543159025,-0.156874947610449
"41","100",0,1,1,0,0,"1988",0.156575041683461,0.154901980011871,0.153218748667284,-0.411657277513132,-0.0117961338504189,-0.0785796886562228,-0.115679321584703,-0.081946782015321,-0.165583567288139,0.544556295666394,-0.0183385837150786,-0.0993599340970207,0.0658119287920792,-0.442023734763608,-0.39742475118987,0.178301229310785,-0.436873913370465,-0.0501567834004534,0.178567735171397,-0.218088729746042,0.21728873554641,-0.067663709022267,-0.252765769861442,0.24718369911392,-0.146917883078545,-0.0967870653913872,-0.328711746654495,-0.440490451533878,0.124000766810657,0.204283543159025,-0.186422608605562
"42","100",0,1,1,0,0,"1989",0.187580283830277,0.186026245103374,0.184460514762416,-0.414898391096463,-0.0382949847071354,-0.0819331262119472,-0.153488825649612,-0.0921797607083024,-0.166223420224093,0.544556295666394,-0.0183385837150786,-0.0924848633373113,0.0150388563780355,-0.378269414051478,-0.43226099420749,-0.43977999529155,-0.431244275122875,-0.0501586966664081,0.131680482507122,-0.373184295013279,0.21728873554641,-0.067663709022267,-0.320029175241578,-0.490660042217298,-0.176546979194497,-0.529307809687751,-0.216601108579336,-0.440490451533878,0.0434278682244108,0.204283543159025,-0.194340009933619
"43","100",0,1,1,0,0,"1990",0.218585525977093,0.217166162327184,0.215733711203084,-0.414199875414762,-0.0240411084162244,-0.0783188523388633,-0.0546892292988251,-0.0570765437077066,-0.154418314419979,0.544556295666394,-0.0183385837150786,-0.0882180548321978,-0.0380392017830485,-0.362948856499602,-0.368420533715401,0.410135414687191,-0.431244275122875,-0.101286902774213,0.0504986915884015,-0.559909688416563,0.21728873554641,-0.067663709022267,-0.207884590322512,0.559460629963488,-0.184486201354124,-0.2869253766627,-0.195726768785204,-0.434851042896322,0.0371785275453112,0.204283543159025,-0.183968365621105
"44","100",0,1,1,0,0,"1991",0.249590768123909,0.2483217316833,0.24703835379137,-0.390664834781279,0.0585831639908818,-0.0757446141820603,-0.0773350185483441,-0.0929497347551958,-0.154833188511895,0.544556295666394,-0.0183385837150786,-0.0813197624735863,0.0110100276235605,-0.267538143906595,-0.353079276241675,-0.00759459200013912,-0.425614636875285,-0.0501586966664087,0.0442021244139258,-0.152177916086177,0.21728873554641,-0.067663709022267,-0.187003929826199,0.0252696304386276,-0.174085972169596,-0.0819836215334637,-0.203423707662811,-0.271739752885579,0.163803323578208,0.212092873204315,-0.100283222668354
"45","100",0,1,1,0,0,"1992",0.280596010270726,0.279492953171723,0.278374458329359,-0.372262112691678,0.0400140477901834,-0.0754803923092789,-0.0913918183320956,-0.0760095298644279,-0.149647286749128,0.610975930672517,0.263617140904255,-0.0811470082738308,-0.117075225928916,-0.240847106151895,-0.257539652263578,0.683164473947792,-0.262785940486264,1.37751844547474,0.17178382864745,0.5767566072871,0.225109423007807,-0.0154393381942757,-0.194703199319233,-0.14201598064949,-0.0901701879579662,0.739546237447577,-0.268541540522658,-0.167581101445948,0.554792652135096,0.226836258800402,0.0486104160704593
"46","100",0,1,1,0,0,"1993",0.311601252417542,0.310679826792452,0.309742040619135,-0.332879661577442,0.115920292265592,-0.074980977974134,-0.0342627492827018,-0.0723434308198081,-0.150235686453627,0.610975930672517,-0.0183385837150786,-0.0729016401623407,0.0334283213412338,-0.225797667780076,-0.230812551696298,0.0904731702641332,-0.158807746025068,0.843039947961747,0.565727877816536,2.02703458673964,0.239874250489953,0.0309316931652092,-0.259840749709419,-0.478216871390387,0.0591338105539905,1.47025377891097,-0.296776590350998,-0.116736102003911,0.577309492572472,0.235520863340185,0.0634129897016887
